objectPath,objectName,objectType,id
/SYS,voldemort,AgentGroup,2uLhT1SxCGsgCGjdqr0hYM
/SYS,stack_trgt,Connection,9Kd4lyONOqNk88XYg9wS2b
/Explore/Default,map_bronze_survey,DTEMPLATE,78PCNjbU6hXhcQfBGZbWEe
/SYS,stack_src,Connection,8LudA5Zrs2DcOWvIVAQB04
/Explore,Default,Project,1ebhd4n0u9ldgsgrEJCkiS
