objectPath,objectName,objectType,id
/SYS,voldemort,AgentGroup,2uLhT1SxCGsgCGjdqr0hYM
/Explore/Default,map_dim_developer,DTEMPLATE,9gSPQ6BfDgohoUEqwd43c4
/SYS,stack_trgt,Connection,9Kd4lyONOqNk88XYg9wS2b
/Explore,Default,Project,1ebhd4n0u9ldgsgrEJCkiS
